0,785
1,1022
2,811
3,360
4,531
5,862
6,1305
7,1236
8,912
9,1387
10,481
11,60
12,431
13,632
14,679
15,724
16,843
17,838
18,1039
19,712
20,869
21,777
22,797
23,742
24,698
25,755
26,750
27,912
28,834
29,1082
30,1393
31,1266
32,1582
33,2049
34,1716
35,2040
36,2063
37,2433
38,2278
39,3815
40,3777
41,3466
42,3297
43,3868
44,3794
45,2497
46,1101
47,3486
48,3411
49,3343
50,3266
51,3240
52,3268
53,3295
54,3380
55,2322
56,2935
57,2936
58,2920
59,2901
60,2043
61,2692
62,1945
63,2584
64,2599
65,2671
66,2735
67,2744
68,2721
69,2699
70,1041
71,2790
72,1972
73,0
74,3122
75,3133
76,1564
77,1368
78,3315
79,1698
80,3418
81,3407
82,1399
83,2934
84,3806
85,3784
86,3763
87,3766
88,3752
89,3748
90,3737
91,3733
92,3726
93,3153
94,547
95,3723
96,3723
97,2369
98,1570
99,3519
100,3709
101,3729
102,3737
103,3744
104,3754
105,3765
106,3777
107,3792
108,3803
109,3816
110,3828
111,3837
112,3855
113,3872
114,3891
115,3953
116,3967
117,4014
118,4032
119,4037
120,4070
121,4103
122,4179
123,2850
124,3456
125,4136
126,4106
127,3846
128,2541
129,1388
130,2045
131,2156
132,2974
133,1456
134,1120
135,1550
136,1682
137,1923
138,1997
139,1682
140,1991
141,2885
142,2777
143,2415
144,1831
145,1775
146,1725
147,1760
148,514
149,416
150,665
151,842
152,2593
153,2442
154,2316
155,2234
156,1272
157,0
158,0
159,0
160,724
161,787
162,765
163,410
164,952
165,474
166,2422
167,1927
168,1727
169,1519
170,2022
171,2727
172,2723
173,1216
174,659
175,760
176,1474
177,2569
178,1780
179,1523
180,1868
181,2529
182,1670
183,1836
184,3181
185,1824
186,3001
187,1133
188,2443
189,805
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,271
200,289
201,518
202,529
203,235
204,473
205,459
206,450
207,445
208,440
209,437
210,433
211,431
212,431
213,430
214,430
215,432
216,436
217,79
218,484
219,482
220,479
221,476
222,474
223,474
224,473
225,474
226,475
227,477
228,480
229,485
230,491
231,498
232,508
233,518
234,534
235,546
236,564
237,579
238,598
239,613
240,632
241,649
242,270
243,0
244,1184
245,1172
246,1160
247,1150
248,1140
249,1129
250,1125
251,1116
252,1107
253,1099
254,1090
255,1083
256,1075
257,1068
258,1063
259,1056
260,1051
261,1045
262,1040
263,1036
264,1032
265,1029
266,1026
267,1022
268,1020
269,1014
270,1012
271,1012
272,1011
273,1011
274,1011
275,619
276,402
277,387
278,285
279,0
280,0
281,0
282,0
283,0
284,898
285,966
286,646
287,794
288,1042
289,1047
290,1053
291,1059
292,889
293,580
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,585
321,658
322,940
323,954
324,1605
325,1632
326,1645
327,1773
328,1859
329,1864
330,1950
331,1994
332,2069
333,1222
334,885
335,544
336,2017
337,1809
338,1083
339,201
340,997
341,0
342,297
343,748
344,644
345,0
346,0
347,0
348,0
349,65
350,0
351,0
352,0
353,0
354,0
355,310
356,155
357,712
358,983
359,1190
